country	latitude	longitude	x	y
Afghanistan	33.7680065	66.2385139	7373637.638251174	3997693.343693646
Albania	41.000028	19.9999619	2226385.574592872	5012345.793842002
Algeria	28.1420115	0.6055386723357143	67408.25666004665	3266890.017414012
Andorra	42.5407167	1.5732033	175128.1902702976	5242323.490237324
China	35.000074	104.999927	11688538.406970896	4163891.2003732533
Antigua and Barbuda	17.2234721	-61.9554608	-6896850.348118621	1946854.0937168966
Argentina	-34.9964963	-64.9672817	-7232124.717067161	-4163405.01542267
Armenia	40.7696272	44.6736646	4973049.595141492	4978420.8825501595
Aruba	12.4902998	-69.9609842	-7788021.136540258	1401559.1718567032
Australia	-24.7761086	134.755	15000857.981847579	-2848269.5651010214
Austria	47.69641095	14.754807384371395	1642497.6447810566	6056496.227322856
Azerbaijan	40.3936294	47.7872508	5319652.4254664555	4923309.395181473
Bahrain	26.1551249	50.5344606	5625470.421504746	3018306.546559724
Bangladesh	24.4768783	90.2932426	10051397.788305517	2811626.4149173936
Barbados	13.1500331	-59.5250305	-6626296.084714079	1476878.40400303
Belarus	53.4250605	27.6971358	3083231.053688148	7062012.925888279
Belgium	50.6402809	4.6667145	519496.28181758634	6557908.560595655
France	46.603354	1.8883335	210208.32366788006	5877569.972086924
Netherlands	52.5001698	5.7480821	639873.5724099306	6891072.773963318
Germany	51.0834196	10.4234469	1160332.801218726	6636062.9704789035
Slovenia	46.149034549999996	14.626325753340627	1628195.135038422	5804264.361296145
Belize	16.8259793	-88.7600927	-9880728.32212776	1900577.376891246
Benin	9.2231105	2.31006719638123	257155.50399940362	1031175.0219337713
Bermuda	32.3018217	-64.7603583	-7209090.109545946	3802994.9489433737
Bolivia	-17.0568696	-64.9912286	-7234790.473781237	-1927446.0015866465
Bosnia and Herzegovina	44.3053476	17.5961467	1958794.090567741	5512817.665183847
Botswana	-23.1681782	24.5928742	2737666.2330870354	-2652369.655974384
Brazil	-10.3333333	-53.2	-5922196.910202154	-1156588.4476574478
United Kingdom	54.7023545	-3.2765753	-364746.6939418176	7304312.167817082
Brunei	4.4137155	114.5653908	12753360.96638839	491819.22979343083
Romania	45.9852129	24.6859225	2748024.322462215	5777979.893681055
Bulgaria	42.72572155	25.336199594318522	2820412.8374762824	5270316.616808921
Burkina Faso	12.0753083	-1.6880314	-187910.7958910567	1354280.1774284886
Cambodia	13.5066394	104.869423	11674010.768144412	1517674.5520562816
Cameroon	4.6125522	13.1535811	1464249.9501600272	514022.48637333035
Canada	61.0666922	-107.991707	-12021581.833136398	8641152.82456457
Chile	-31.7613365	-71.3187697	-7939169.127006749	-3732022.9449119745
Colombia	2.8894434	-73.783892	-8213585.286185891	321787.79282289225
Republic of the Congo	-0.7179165000000001	16.018048574081842	1783121.0107687123	-79920.19049865399
Costa Rica	9.5773243	-83.82371114343024	-9331212.840889107	1071142.6922030875
Côte d'Ivoire	7.9897371	-5.5679458	-619820.8912205463	892310.07710919
Ukraine	49.4871968	31.2718321	3481164.425544747	6357936.478724493
Croatia	45.5643442	17.0118954	1893755.533356433	5710807.823362356
Cuba	23.0131338	-80.8328748	-8998274.462092435	2633607.025816937
Curacao	12.1845	-68.9640875031406	-7677047.103872374	1366712.9210669666
Cyprus	34.9823018	33.1451285	3689698.8268976193	4161476.2894015657
Czech Republic	49.8167003	15.4749544	1722664.0438571284	6414591.869401436
Democratic Republic of the Congo	-2.9814344	23.8222636	2651882.2534951363	-332041.639554042
Denmark	55.670249	10.3333283	1150300.844555723	7493049.671201015
Dominican Republic	19.28131815	-70.035906834967	-7796361.486113673	2188084.730915216
Ecuador	-1.3397668	-79.3666965	-8835060.240324289	-149155.75115758213
Egypt	26.2540493	29.2675469	3258048.417676253	3030580.2127741897
El Salvador	13.8000382	-88.9140683	-9897868.807514347	1551285.3826837386
Equatorial Guinea	1.613172	10.5170357	1170751.0587786795	179601.21587858922
Estonia	58.7523778	25.3319078	2819935.077118155	8127057.623305905
Finland	63.2467777	25.9209164	2885503.214543014	9161018.744482854
Gabon	-0.8999695	11.6899699	1301321.4966566951	-100188.26635225173
Gambia	13.44294275	-16.118732162564726	-1794329.0565698666	1510383.1594682964
Georgia	32.3293809	-83.1137366	-9252178.836238265	3806625.071993377
Ghana	7.8573710000000005	-1.0840975468820433	-120681.18688914608	877433.1146600065
Greece	38.9953683	21.9877132	2447661.03713254	4721008.143010364
Guadeloupe	16.230510250000002	-61.68712602138846	-6866979.4572014585	1831432.626463138
Guam	13.450125700000001	144.75755102972062	16114336.869109813	1511205.2988342913
Guatemala	15.6356088	-89.8988087	-10007489.607405912	1762562.3706028375
Guinea	10.7226226	-10.7083587	-1192049.037715721	1200666.0341751985
Hong Kong	22.2793278	114.1628131	12708546.221819662	2545095.0771947666
Hungary	47.16115805	19.135174733081314	2130117.907526926	5968418.954743489
Iceland	64.9841821	-18.1059013	-2015539.71306927	9604206.239017487
India	22.3511148	78.6677428	8757253.070352213	2553733.2960770074
Indonesia	-2.4833826	117.8902853	13123486.529069744	-276535.484829606
Iran	32.6475314	54.5643516	6074075.8355771415	3848612.5614693076
Iraq	33.0955793	44.1749775	4917536.001104317	3907997.399553037
Ireland	52.865196	-7.9794599	-888269.4128733458	6958101.6518116165
Israel	31.5313113	34.8667654	3881350.5699365293	3701943.9741232754
Palestine	31.94696655	35.27386547291496	3926668.7427553274	3756351.174154774
Italy	41.7035189	14.188594570351707	1579467.1226437583	5116670.95681484
USA	39.7837304	-100.4458825	-11181584.492180988	4834564.161615892
Jamaica	18.1850507	-77.3947693	-8615546.30853888	2059219.8140553643
Japan	36.5748441	139.2394179	15500061.098979821	4380010.0666196905
Jordan	31.1667049	36.941628	4112323.2180345375	3654417.9251538496
Kazakhstan	47.2286086	65.2093197	7259068.263979781	5979468.972256503
Kenya	-0.1667169	37.48603689110992	4172926.538576224	-18558.86660336622
Kosovo	42.5653218	20.913641374540397	2328095.908446975	5246041.701539327
Kuwait	29.2733964	47.4979476	5287447.340557591	3410489.5033085383
Latvia	56.8406494	24.7537645	2755576.459356612	7727618.296198064
Lebanon	33.8750629	35.843409	3990070.0381750395	4012038.337881493
Liechtenstein	47.1594125	9.546911556940856	1062757.3331670747	5968133.178120274
Lithuania	55.3500003	23.7499997	2643837.8729444	7430092.500272149
Luxembourg	49.8158683	6.1296751	682352.3108602084	6414448.3294269405
Madagascar	-18.9249604	46.4416422	5169859.9613074055	-2146103.207083789
Malaysia	4.5693754	102.2656823	11384163.679262688	509200.59590165695
Mali	16.3700359	-2.2900239	-254924.29445242643	1847615.0236446408
Malta	35.9446731	14.383630615858262	1601178.4359158818	4293011.14400941
Mexico	22.5000485	-100.0000375	-11131953.253808262	2571668.8910050755
Moldova	47.2879608	28.5670941	3180074.36865553	5989203.922363961
Mongolia	46.8250388	103.8499736	11560526.180046903	5913562.564143416
Montenegro	42.9868853	19.5180992	2172744.8641966004	5309975.868872099
Morocco	28.690505199999997	-10.049780997520713	-1118736.5032279228	3336312.9471855694
Mozambique	-19.302233	34.9144977	3886664.1052669208	-2190551.4729313613
Myanmar	17.1750495	95.9999652	10686667.242235983	1941211.3846878847
Nepal	28.1083929	84.0917139	9361046.771281647	3262646.540441359
New Zealand	-41.5000831	172.8344077	19239838.256721042	-5086386.000692608
Russia	64.6863136	97.7453061	10880957.702484656	9526226.028606497
Zimbabwe	-19.01688	29.35365015971339	3267633.388703188	-2156923.362393675
Vietnam	13.2904027	108.4265113	12069984.026407123	1492929.6670678423
United Arab Emirates	24.0002488	53.9994829	6011194.939528083	2753438.426757345
Nigeria	9.6000359	7.9999721	890552.8205323954	1073706.7586262226
North Macedonia	41.6171214	21.7168387	2417507.4257236575	5103797.519875875
Norway	60.5000209	9.0999715	1013004.1936133018	8511913.416954674
Oman	21.0000287	57.0036901	6345621.755269569	2391882.0101129897
Pakistan	30.3308401	71.247499	7931235.308974268	3546147.535352986
Panama	8.559559	-81.1308434	-9031444.17491682	956409.940722103
Papua New Guinea	-5.6816069	144.2489081	16057714.997177714	-633512.6876443085
Peru	-6.8699697	-75.0458515	-8354065.975127625	-766600.6223820464
Philippines	12.7503486	122.7312101	13662375.812774274	1431224.4320558426
Poland	52.215933	19.134422	2130034.1136636115	6839263.475439759
Portugal	39.4332242	-8.567392135367742	-953717.7299354338	4783918.578150823
Qatar	25.3336984	51.2295295	5702845.137518986	2916787.9449137347
Rwanda	-1.9646631	30.0644358	3346757.6842430644	-218748.16717164416
Saint Barthélemy	17.9036287	-62.811568843006896	-6992151.859530175	2026271.5296827292
Saint Kitts and Nevis	17.250512	-62.6725973	-6976681.618127892	1950005.7093948186
Saint Lucia	13.8250489	-60.975036	-6787709.958621524	1554152.4714688843
Saint Martin	48.5683066	6.7539988	751851.7072343808	6201926.989417825
Saint Vincent and the Grenadines	12.90447	-61.2765569	-6821275.111673054	1448820.2887935196
Saudi Arabia	25.6242618	42.3528328	4714695.780948655	2952618.091775275
Senegal	14.46517725	-14.765340959100413	-1643670.2369561237	1627639.7941626636
Serbia	44.1534121	20.55144	2287775.835868514	5489213.833697985
Sierra Leone	8.6400349	-11.8400269	-1318025.7654866613	965470.3446290178
Singapore	1.357107	103.8194992	11557133.785356672	151086.58810089144
Sint Maarten	52.7736657	4.7448352	528192.6383620003	6941241.444767216
Slovakia	48.6726975	19.63679421037233	2185957.93231095	6219506.390965417
South Africa	-28.579397200000002	24.086794125366062	2681329.656878163	-3322220.867120428
South Korea	36.638392	127.6961188	14215066.921093367	4388822.440276415
Spain	39.3260685	-4.8379791	-538561.3698804999	4768486.295249275
Sri Lanka	7.5554942	80.7137847	8985017.412801916	843522.0228427307
Suriname	4.1413025	-56.0771187	-6242476.298837959	461409.6181578771
Sweden	59.6749712	14.5208584	1616454.5629692292	8327726.624551773
Switzerland	46.813331250000005	8.444947437939408	940087.2485673751	5911658.029817127
Taiwan	23.9739374	120.9820179	13467656.627770707	2750232.5895415912
Thailand	14.8971921	100.83273	11224648.15889564	1677354.7384668754
Timor-Leste	-8.5151979	125.8375756	14008174.838452067	-951416.3527071559
Togo	8.7800265	1.0199765	113543.2646011054	981235.9610100128
Trinidad and Tobago	10.8677845	-60.9821067	-6788497.065345077	1217116.5128130894
Tunisia	33.994952999999995	9.367097748325554	1042740.55155442	4028124.357474512
Turkey	38.9597594	34.9249653	3887829.353168749	4715909.089946451
Uganda	1.3769751000000001	32.72391099113675	3642809.1082977513	153298.9245648785
Uruguay	-32.9332511	-55.67952571569153	-6198216.4502817625	-3886447.511079602
Venezuela	8.0018709	-66.1109318	-7359435.263844837	893674.065895879
Zambia	-14.5189121	27.5589884	3067852.555465733	-1633818.1097532026
