ACC	GISAID
SRR14751995	EPI_ISL_2273136
SRR14751996	EPI_ISL_2273135
SRR14751997	EPI_ISL_2273134
SRR14751998	EPI_ISL_2273133
SRR14751999	EPI_ISL_2273132
SRR14752000	EPI_ISL_2273131
SRR14752001	EPI_ISL_2273130
SRR14752002	EPI_ISL_2273096
SRR14752003	EPI_ISL_2273129
SRR14752004	EPI_ISL_2273128
SRR14752005	EPI_ISL_2273127
SRR14752006	EPI_ISL_2273126
SRR14752007	EPI_ISL_2273125
SRR14752008	EPI_ISL_2273124
SRR14752009	EPI_ISL_2273123
SRR14752010	EPI_ISL_2273122
SRR14752011	EPI_ISL_2273121
SRR14752012	EPI_ISL_2273120
SRR14752013	EPI_ISL_2273095
SRR14752014	EPI_ISL_2273119
SRR14752015	EPI_ISL_2273118
SRR14752016	EPI_ISL_2382312
SRR14752017	EPI_ISL_2273117
SRR14752018	EPI_ISL_2382311
SRR14752019	EPI_ISL_2273116
SRR14752020	EPI_ISL_2273115
SRR14752021	EPI_ISL_2273114
SRR14752022	EPI_ISL_2273113
SRR14752023	EPI_ISL_2273112
SRR14752024	EPI_ISL_2273094
SRR14752025	EPI_ISL_2273111
SRR14752026	EPI_ISL_2273110
SRR14752027	EPI_ISL_2273109
SRR14752028	EPI_ISL_2273108
SRR14752029	EPI_ISL_2273107
SRR14752030	EPI_ISL_2273106
SRR14752031	EPI_ISL_2273105
SRR14752032	EPI_ISL_2273104
SRR14752033	EPI_ISL_2273103
SRR14752034	EPI_ISL_2273102
SRR14752035	EPI_ISL_2273093
SRR14752036	EPI_ISL_2273092
SRR14725005	EPI_ISL_568554
SRR14725006	EPI_ISL_540962
SRR14725007	EPI_ISL_568553
SRR14725008	EPI_ISL_568552
SRR14725009	EPI_ISL_568551
SRR14725010	EPI_ISL_568550
SRR14725011	EPI_ISL_568549
SRR14725012	EPI_ISL_568548
SRR14725013	EPI_ISL_568547
SRR14725014	EPI_ISL_568546
SRR14725015	EPI_ISL_568545
SRR14725016	EPI_ISL_568544
SRR14725017	EPI_ISL_540961
SRR14725018	EPI_ISL_568543
SRR14725019	EPI_ISL_568542
SRR14725020	EPI_ISL_568541
SRR14725021	EPI_ISL_568540
SRR14725022	EPI_ISL_568539
SRR14725023	EPI_ISL_568538
SRR14725024	EPI_ISL_568537
SRR14725025	EPI_ISL_568536
SRR14725026	EPI_ISL_568535
SRR14725027	EPI_ISL_568534
SRR14725028	EPI_ISL_540960
SRR14725029	EPI_ISL_540991
SRR14725030	EPI_ISL_540990
SRR14725031	EPI_ISL_540989
SRR14725032	EPI_ISL_540988
SRR14725033	EPI_ISL_540987
SRR14725034	EPI_ISL_540986
SRR14725035	EPI_ISL_540985
SRR14725036	EPI_ISL_540984
SRR14725037	EPI_ISL_540957
SRR14725038	EPI_ISL_540983
SRR14725039	EPI_ISL_540982
SRR14725040	EPI_ISL_540981
SRR14725041	EPI_ISL_540980
SRR14725042	EPI_ISL_540979
SRR14725043	EPI_ISL_540978
SRR14725044	EPI_ISL_540977
SRR14725045	EPI_ISL_540976
SRR14725046	EPI_ISL_540975
SRR14725047	EPI_ISL_540974
SRR14725048	EPI_ISL_540956
SRR14725049	EPI_ISL_540973
SRR14725050	EPI_ISL_540972
SRR14725051	EPI_ISL_540971
SRR14725052	EPI_ISL_540970
SRR14725053	EPI_ISL_540969
SRR14725054	EPI_ISL_540968
SRR14725055	EPI_ISL_540967
SRR14725056	EPI_ISL_540966
SRR14725057	EPI_ISL_729901
SRR14725058	EPI_ISL_729900
SRR14725059	EPI_ISL_729899
SRR14725060	EPI_ISL_729868
SRR14725061	EPI_ISL_729898
SRR14725062	EPI_ISL_729867
SRR14725063	EPI_ISL_729897
SRR14725064	EPI_ISL_729896
SRR14725065	EPI_ISL_729895
SRR14725066	EPI_ISL_540965
SRR14725067	EPI_ISL_729866
SRR14725068	EPI_ISL_729894
SRR14725069	EPI_ISL_729865
SRR14725070	EPI_ISL_729893
SRR14725071	EPI_ISL_729892
SRR14725072	EPI_ISL_729891
SRR14725073	EPI_ISL_729890
SRR14725074	EPI_ISL_729889
SRR14725075	EPI_ISL_729888
SRR14725076	EPI_ISL_729887
SRR14725077	EPI_ISL_729886
SRR14725078	EPI_ISL_729864
SRR14725079	EPI_ISL_729885
SRR14725080	EPI_ISL_729884
SRR14725081	EPI_ISL_729883
SRR14725082	EPI_ISL_729882
SRR14725083	EPI_ISL_729863
SRR14725084	EPI_ISL_729881
SRR14725085	EPI_ISL_729880
SRR14725086	EPI_ISL_729862
SRR14725087	EPI_ISL_540963
SRR14725088	EPI_ISL_729879
SRR14725089	EPI_ISL_729878
SRR14725090	EPI_ISL_729877
SRR14725091	EPI_ISL_729876
SRR14725092	EPI_ISL_729875
SRR14725093	EPI_ISL_729874
SRR14725094	EPI_ISL_729873
SRR14725095	EPI_ISL_729872
SRR14725096	EPI_ISL_568555
SRR14725097	EPI_ISL_568533
SRR14725098	EPI_ISL_568532
SRR14725099	EPI_ISL_568531
SRR14725100	EPI_ISL_568530
SRR14725101	EPI_ISL_568529
SRR14725102	EPI_ISL_568528
SRR14725103	EPI_ISL_568527
SRR14725104	EPI_ISL_568526
SRR14725105	EPI_ISL_568525
SRR14725106	EPI_ISL_568524
SRR14725107	EPI_ISL_540959
SRR14725108	EPI_ISL_568523
SRR14725109	EPI_ISL_568522
SRR14725110	EPI_ISL_568521
SRR14725111	EPI_ISL_568520
SRR14725112	EPI_ISL_568519
SRR14725113	EPI_ISL_568518
SRR14725114	EPI_ISL_568517
SRR14725115	EPI_ISL_568516
SRR14725116	EPI_ISL_568515
SRR14725117	EPI_ISL_568514
SRR14725118	EPI_ISL_540958
SRR14725119	EPI_ISL_568513
SRR14725120	EPI_ISL_540992
SRR14725121	EPI_ISL_540964
SRR14725122	EPI_ISL_568512
SRR14725123	EPI_ISL_540955
SRR14678990	EPI_ISL_2001213
SRR14678991	EPI_ISL_2001115
SRR14678992	EPI_ISL_2001114
SRR14678993	EPI_ISL_1972895
SRR14678994	EPI_ISL_1972894
SRR14678995	EPI_ISL_1972893
SRR14678996	EPI_ISL_1972892
SRR14678997	EPI_ISL_2009595
SRR14678998	EPI_ISL_2009530
SRR14678999	EPI_ISL_2009529
SRR14679000	EPI_ISL_2009305
SRR14679001	EPI_ISL_2009234
SRR14679002	EPI_ISL_2009233
SRR14679003	EPI_ISL_2009232
SRR14679004	EPI_ISL_2009193
SRR14679005	EPI_ISL_2009116
SRR14679006	EPI_ISL_2001659
SRR14679007	EPI_ISL_1972891
SRR14679008	EPI_ISL_2001656
SRR14679009	EPI_ISL_2001655
SRR14679010	EPI_ISL_2001654
SRR14679011	EPI_ISL_2001645
SRR14679012	EPI_ISL_2001644
SRR14679013	EPI_ISL_2001643
SRR14679014	EPI_ISL_2001482
SRR14679015	EPI_ISL_2001481
SRR14679016	EPI_ISL_2001430
SRR14679017	EPI_ISL_2001429
SRR14679018	EPI_ISL_1972890
SRR14679019	EPI_ISL_1972889
SRR14670950	EPI_ISL_529065
SRR14670951	EPI_ISL_529065
SRR14670952	EPI_ISL_529069
SRR14670953	EPI_ISL_529070
SRR14670954	EPI_ISL_529070
SRR14670955	EPI_ISL_529071
SRR14670956	EPI_ISL_540928
SRR14670957	EPI_ISL_540927
SRR14670958	EPI_ISL_529066
SRR14670959	EPI_ISL_529071
SRR14670960	EPI_ISL_540924
SRR14670961	EPI_ISL_529072
SRR14670962	EPI_ISL_529072
SRR14670963	EPI_ISL_540925
SRR14670964	EPI_ISL_540926
SRR14670965	EPI_ISL_568510
SRR14670966	EPI_ISL_540929
SRR14670967	EPI_ISL_540930
SRR14670968	EPI_ISL_540931
SRR14670969	EPI_ISL_540932
SRR14670970	EPI_ISL_540933
SRR14670971	EPI_ISL_540934
SRR14670972	EPI_ISL_540935
SRR14670973	EPI_ISL_529066
SRR14670974	EPI_ISL_529073
SRR14670975	EPI_ISL_529074
SRR14670976	EPI_ISL_529075
SRR14670977	EPI_ISL_529076
SRR14670978	EPI_ISL_529077
SRR14670979	EPI_ISL_529078
SRR14670980	EPI_ISL_529079
SRR14670981	EPI_ISL_540936
SRR14670982	EPI_ISL_540937
SRR14670983	EPI_ISL_540938
SRR14670984	EPI_ISL_529067
SRR14670985	EPI_ISL_540939
SRR14670986	EPI_ISL_540940
SRR14670987	EPI_ISL_540941
SRR14670988	EPI_ISL_568511
SRR14670989	EPI_ISL_540942
SRR14670990	EPI_ISL_540943
SRR14670991	EPI_ISL_540944
SRR14670992	EPI_ISL_540945
SRR14670993	EPI_ISL_540946
SRR14670994	EPI_ISL_540947
SRR14670995	EPI_ISL_540950
SRR14670996	EPI_ISL_540951
SRR14670997	EPI_ISL_540952
SRR14670998	EPI_ISL_540953
SRR14670999	EPI_ISL_540954
SRR14671000	EPI_ISL_540923
SRR14671001	EPI_ISL_529068
SRR14671002	EPI_ISL_529069
SRR14671003	EPI_ISL_529068
SRR14671004	EPI_ISL_540949
SRR14671005	EPI_ISL_540948
SRR14671006	EPI_ISL_529067
SRR14576241	EPI_ISL_2137767
SRR14576242	EPI_ISL_2137766
SRR14576243	EPI_ISL_2137765
SRR14576244	EPI_ISL_2137764
SRR14576245	EPI_ISL_2137763
SRR14576246	EPI_ISL_2137762
SRR14576247	EPI_ISL_2137761
SRR14576248	EPI_ISL_2137760
SRR14476228	EPI_ISL_1278906
SRR14476229	EPI_ISL_1278417
SRR14476230	EPI_ISL_1278866
SRR14476231	EPI_ISL_1278871
SRR14476232	EPI_ISL_1278379
SRR14476233	EPI_ISL_1278413
SRR14476234	EPI_ISL_1278837
SRR14476235	EPI_ISL_1278879
SRR14476236	EPI_ISL_1656518
SRR14476237	EPI_ISL_1278809
SRR14476238	EPI_ISL_1278428
SRR14476239	EPI_ISL_1278485
SRR14476240	EPI_ISL_1278451
SRR14476241	EPI_ISL_1278449
SRR14476242	EPI_ISL_1278918
SRR14476243	EPI_ISL_1278504
SRR14476244	EPI_ISL_1278624
SRR14476245	EPI_ISL_1278623
SRR14476246	EPI_ISL_1278622
SRR14476247	EPI_ISL_1278497
SRR14476248	EPI_ISL_1278621
SRR14476249	EPI_ISL_1278620
SRR14476250	EPI_ISL_1278619
SRR14476251	EPI_ISL_1656488
SRR14476252	EPI_ISL_1278808
SRR14476253	EPI_ISL_1278807
SRR14476254	EPI_ISL_1278550
SRR14476255	EPI_ISL_1278618
SRR14476256	EPI_ISL_1278806
SRR14476257	EPI_ISL_1278805
SRR14476258	EPI_ISL_1278804
SRR14476259	EPI_ISL_1278803
SRR14476260	EPI_ISL_1656485
SRR14476261	EPI_ISL_1278617
SRR14476262	EPI_ISL_1278496
SRR14476263	EPI_ISL_1278471
SRR14476264	EPI_ISL_1278386
SRR14476265	EPI_ISL_1278887
SRR14476266	EPI_ISL_1278868
SRR14476267	EPI_ISL_1278843
SRR14476268	EPI_ISL_1278529
SRR14476269	EPI_ISL_1278530
SRR14476270	EPI_ISL_1278802
SRR14476271	EPI_ISL_1278616
SRR14476272	EPI_ISL_1278801
SRR14476273	EPI_ISL_1278615
SRR14476274	EPI_ISL_1278888
SRR14476275	EPI_ISL_1278531
SRR14476276	EPI_ISL_1278846
SRR14476277	EPI_ISL_1278800
SRR14476278	EPI_ISL_1278384
SRR14476279	EPI_ISL_1278876
SRR14476280	EPI_ISL_1278764
SRR14476281	EPI_ISL_1278614
SRR14476282	EPI_ISL_1278799
SRR14476283	EPI_ISL_1278845
SRR14476284	EPI_ISL_1278798
SRR14476285	EPI_ISL_1278393
SRR14476286	EPI_ISL_1278861
SRR14476287	EPI_ISL_1278416
SRR14476288	EPI_ISL_1656489
SRR14476289	EPI_ISL_1278841
SRR14476290	EPI_ISL_1278763
SRR14476291	EPI_ISL_1278762
SRR14476292	EPI_ISL_1425062
SRR14476293	EPI_ISL_1278391
SRR14476294	EPI_ISL_1425061
SRR14476295	EPI_ISL_1424884
SRR14476296	EPI_ISL_1425060
SRR14476297	EPI_ISL_1425059
SRR14476298	EPI_ISL_1278549
SRR14476299	EPI_ISL_1425058
SRR14476300	EPI_ISL_1425057
SRR14476301	EPI_ISL_1425056
SRR14476302	EPI_ISL_1425055
SRR14476303	EPI_ISL_1278487
SRR14476304	EPI_ISL_1425054
SRR14476305	EPI_ISL_1656517
SRR14476306	EPI_ISL_1425053
SRR14476307	EPI_ISL_1656500
SRR14476308	EPI_ISL_1278797
SRR14476309	EPI_ISL_1278502
SRR14476310	EPI_ISL_1278660
SRR14476311	EPI_ISL_1656508
SRR14476312	EPI_ISL_1278483
SRR14476313	EPI_ISL_1278940
SRR14476314	EPI_ISL_1278761
SRR14476315	EPI_ISL_1278467
SRR14476316	EPI_ISL_1278437
SRR14476317	EPI_ISL_1278435
SRR14476318	EPI_ISL_1278388
SRR14476319	EPI_ISL_1278395
SRR14476320	EPI_ISL_1424978
SRR14476321	EPI_ISL_1278380
SRR14476322	EPI_ISL_1424977
SRR14476323	EPI_ISL_1424976
SRR14476324	EPI_ISL_1424975
SRR14476325	EPI_ISL_1424974
SRR14476326	EPI_ISL_1424973
SRR14476327	EPI_ISL_1424972
SRR14476328	EPI_ISL_1424971
SRR14476329	EPI_ISL_1424970
SRR14476330	EPI_ISL_1424969
SRR14476331	EPI_ISL_1424968
SRR14476332	EPI_ISL_1278452
SRR14476333	EPI_ISL_1424967
SRR14476334	EPI_ISL_1424966
SRR14476335	EPI_ISL_1278923
SRR14476336	EPI_ISL_1278883
SRR14476337	EPI_ISL_1278901
SRR14476338	EPI_ISL_1278844
SRR14476339	EPI_ISL_1278854
SRR14476340	EPI_ISL_1278830
SRR14476341	EPI_ISL_1424965
SRR14476342	EPI_ISL_1278682
SRR14476343	EPI_ISL_1278461
SRR14476344	EPI_ISL_1278897
SRR14476345	EPI_ISL_1424964
SRR14476346	EPI_ISL_1424963
SRR14476347	EPI_ISL_1424962
SRR14476348	EPI_ISL_1424961
SRR14476349	EPI_ISL_1278734
SRR14476350	EPI_ISL_1424960
SRR14476351	EPI_ISL_1278426
SRR14476352	EPI_ISL_1424959
SRR14476353	EPI_ISL_1425052
SRR14476354	EPI_ISL_1278886
SRR14476355	EPI_ISL_1278927
SRR14476356	EPI_ISL_1656478
SRR14476357	EPI_ISL_1278681
SRR14476358	EPI_ISL_1278680
SRR14476359	EPI_ISL_1278415
SRR14476360	EPI_ISL_1424958
SRR14476361	EPI_ISL_1424957
SRR14476362	EPI_ISL_1424956
SRR14476363	EPI_ISL_1424955
SRR14476364	EPI_ISL_1424954
SRR14476365	EPI_ISL_1278506
SRR14476366	EPI_ISL_1278414
SRR14476367	EPI_ISL_1278733
SRR14476368	EPI_ISL_1278732
SRR14475892	EPI_ISL_1278731
SRR14475893	EPI_ISL_1278730
SRR14475894	EPI_ISL_1278862
SRR14475895	EPI_ISL_1278475
SRR14475896	EPI_ISL_1278514
SRR14475897	EPI_ISL_1278679
SRR14475898	EPI_ISL_1278917
SRR14475899	EPI_ISL_1278548
SRR14475900	EPI_ISL_1278903
SRR14475901	EPI_ISL_1278916
SRR14475902	EPI_ISL_1278408
SRR14475903	EPI_ISL_1278838
SRR14475904	EPI_ISL_1278489
SRR14475905	EPI_ISL_1278760
SRR14475906	EPI_ISL_1278729
SRR14475907	EPI_ISL_1278454
SRR14475908	EPI_ISL_1278494
SRR14475909	EPI_ISL_1278613
SRR14475910	EPI_ISL_1656493
SRR14475911	EPI_ISL_1278892
SRR14475912	EPI_ISL_1278564
SRR14475913	EPI_ISL_1278421
SRR14475914	EPI_ISL_1278484
SRR14475915	EPI_ISL_1278532
SRR14475916	EPI_ISL_1424953
SRR14475917	EPI_ISL_1424952
SRR14475918	EPI_ISL_1424951
SRR14475919	EPI_ISL_1424950
SRR14475920	EPI_ISL_1424949
SRR14475921	EPI_ISL_1278382
SRR14475922	EPI_ISL_1424948
SRR14475923	EPI_ISL_1424947
SRR14475924	EPI_ISL_1424946
SRR14475925	EPI_ISL_1656519
SRR14475926	EPI_ISL_1424945
SRR14475927	EPI_ISL_1278678
SRR14475928	EPI_ISL_1278677
SRR14475929	EPI_ISL_1278676
SRR14475930	EPI_ISL_1435653
SRR14475931	EPI_ISL_1278675
SRR14475932	EPI_ISL_1278852
SRR14475933	EPI_ISL_1424944
SRR14475934	EPI_ISL_1278539
SRR14475935	EPI_ISL_1278728
SRR14475936	EPI_ISL_1278727
SRR14475937	EPI_ISL_1424943
SRR14475938	EPI_ISL_1278482
SRR14475939	EPI_ISL_1424942
SRR14475940	EPI_ISL_1278563
SRR14475941	EPI_ISL_1278420
SRR14475942	EPI_ISL_1278394
SRR14475943	EPI_ISL_1278828
SRR14475944	EPI_ISL_1278659
SRR14475945	EPI_ISL_1424941
SRR14475946	EPI_ISL_1278726
SRR14475947	EPI_ISL_1278900
SRR14475948	EPI_ISL_1435651
SRR14475949	EPI_ISL_1278674
SRR14475950	EPI_ISL_1278832
SRR14475951	EPI_ISL_1278458
SRR14475952	EPI_ISL_1278442
SRR14475953	EPI_ISL_1424940
SRR14475954	EPI_ISL_1424939
SRR14475955	EPI_ISL_1278375
SRR14475956	EPI_ISL_1278612
SRR14475957	EPI_ISL_1425051
SRR14475958	EPI_ISL_1278535
SRR14475959	EPI_ISL_1278537
SRR14475960	EPI_ISL_1278931
SRR14475961	EPI_ISL_1278673
SRR14475962	EPI_ISL_1278392
SRR14475963	EPI_ISL_1278825
SRR14475964	EPI_ISL_1278882
SRR14475965	EPI_ISL_1278481
SRR14475966	EPI_ISL_1278547
SRR14475967	EPI_ISL_1656492
SRR14475968	EPI_ISL_1278477
SRR14475969	EPI_ISL_1278672
SRR14475970	EPI_ISL_1278671
SRR14475971	EPI_ISL_1278725
SRR14475972	EPI_ISL_1424938
SRR14475973	EPI_ISL_1424937
SRR14475974	EPI_ISL_1424936
SRR14475975	EPI_ISL_1424935
SRR14475976	EPI_ISL_1424934
SRR14475977	EPI_ISL_1278423
SRR14475978	EPI_ISL_1424933
SRR14475979	EPI_ISL_1656480
SRR14475980	EPI_ISL_1424932
SRR14475981	EPI_ISL_1424931
SRR14475982	EPI_ISL_1424930
SRR14475983	EPI_ISL_1424929
SRR14475984	EPI_ISL_1424928
SRR14475985	EPI_ISL_1424927
SRR14475986	EPI_ISL_1424926
SRR14475987	EPI_ISL_1424925
SRR14475988	EPI_ISL_1278847
SRR14475989	EPI_ISL_1424924
SRR14475990	EPI_ISL_1424923
SRR14475991	EPI_ISL_1424922
SRR14475992	EPI_ISL_1424921
SRR14475993	EPI_ISL_1424920
SRR14475994	EPI_ISL_1278724
SRR14475995	EPI_ISL_1278723
SRR14475996	EPI_ISL_1656510
SRR14475997	EPI_ISL_1278526
SRR14475998	EPI_ISL_1424919
SRR14475999	EPI_ISL_1278875
SRR14476000	EPI_ISL_1278722
SRR14476001	EPI_ISL_1424918
SRR14476002	EPI_ISL_1278721
SRR14476003	EPI_ISL_1278720
SRR14476004	EPI_ISL_1278719
SRR14476005	EPI_ISL_1278718
SRR14476006	EPI_ISL_1425050
SRR14476007	EPI_ISL_1278717
SRR14476008	EPI_ISL_1424917
SRR14476009	EPI_ISL_1278904
SRR14476010	EPI_ISL_1278427
SRR14476011	EPI_ISL_1278716
SRR14476012	EPI_ISL_1278715
SRR14476013	EPI_ISL_1278411
SRR14476014	EPI_ISL_1424916
SRR14476015	EPI_ISL_1424915
SRR14476016	EPI_ISL_1425049
SRR14476017	EPI_ISL_1425048
SRR14476018	EPI_ISL_1425047
SRR14476019	EPI_ISL_1278714
SRR14476020	EPI_ISL_1424914
SRR14476021	EPI_ISL_1278456
SRR14476022	EPI_ISL_1278713
SRR14476023	EPI_ISL_1278712
SRR14476024	EPI_ISL_1278711
SRR14476025	EPI_ISL_1278509
SRR14476026	EPI_ISL_1424913
SRR14476027	EPI_ISL_1278710
SRR14476028	EPI_ISL_1278709
SRR14476029	EPI_ISL_1424912
SRR14476030	EPI_ISL_1278373
SRR14476031	EPI_ISL_1278418
SRR14476032	EPI_ISL_1278433
SRR14476033	EPI_ISL_1278708
SRR14476034	EPI_ISL_1425046
SRR14476035	EPI_ISL_1424911
SRR14476036	EPI_ISL_1278707
SRR14476037	EPI_ISL_1278562
SRR14476038	EPI_ISL_1278556
SRR14476039	EPI_ISL_1278387
SRR14476040	EPI_ISL_1278541
SRR14476041	EPI_ISL_1278472
SRR14476042	EPI_ISL_1424910
SRR14476043	EPI_ISL_1278445
SRR14476044	EPI_ISL_1424909
SRR14476045	EPI_ISL_1424908
SRR14476046	EPI_ISL_1424907
SRR14476047	EPI_ISL_1424906
SRR14476048	EPI_ISL_1656490
SRR14476049	EPI_ISL_1424905
SRR14476050	EPI_ISL_1278476
SRR14476051	EPI_ISL_1278508
SRR14476052	EPI_ISL_1278439
SRR14476053	EPI_ISL_1278464
SRR14476054	EPI_ISL_1278922
SRR14476055	EPI_ISL_1278885
SRR14476056	EPI_ISL_1278460
SRR14476057	EPI_ISL_1278402
SRR14476058	EPI_ISL_1278829
SRR14476059	EPI_ISL_1278873
SRR14476060	EPI_ISL_1278865
SRR14476061	EPI_ISL_1278538
SRR14476062	EPI_ISL_1278385
SRR14476063	EPI_ISL_1278473
SRR14476064	EPI_ISL_1278817
SRR14476065	EPI_ISL_1278377
SRR14476066	EPI_ISL_1278546
SRR14476067	EPI_ISL_1278859
SRR14476068	EPI_ISL_1278863
SRR14476069	EPI_ISL_1278925
SRR14476070	EPI_ISL_1424904
SRR14476071	EPI_ISL_1424903
SRR14476072	EPI_ISL_1278902
SRR14476073	EPI_ISL_1278924
SRR14476074	EPI_ISL_1278706
SRR14476075	EPI_ISL_1278705
SRR14476076	EPI_ISL_1278824
SRR14476077	EPI_ISL_1278834
SRR14476078	EPI_ISL_1278405
SRR14476079	EPI_ISL_1424902
SRR14476080	EPI_ISL_1424901
SRR14476081	EPI_ISL_1424900
SRR14476082	EPI_ISL_1424899
SRR14476083	EPI_ISL_1424898
SRR14476084	EPI_ISL_1424897
SRR14476085	EPI_ISL_1425045
SRR14476086	EPI_ISL_1278534
SRR14476087	EPI_ISL_1656484
SRR14476088	EPI_ISL_1278889
SRR14476089	EPI_ISL_1278926
SRR14476090	EPI_ISL_1425044
SRR14476091	EPI_ISL_1278670
SRR14476092	EPI_ISL_1425043
SRR14476093	EPI_ISL_1425042
SRR14476094	EPI_ISL_1278503
SRR14476095	EPI_ISL_1425041
SRR14476096	EPI_ISL_1425040
SRR14476097	EPI_ISL_1425039
SRR14476098	EPI_ISL_1425038
SRR14476099	EPI_ISL_1656509
SRR14476100	EPI_ISL_1278939
SRR14476101	EPI_ISL_1424896
SRR14476102	EPI_ISL_1425037
SRR14476103	EPI_ISL_1425036
SRR14476104	EPI_ISL_1424895
SRR14476105	EPI_ISL_1278611
SRR14476106	EPI_ISL_1425035
SRR14476107	EPI_ISL_1425034
SRR14476108	EPI_ISL_1424894
SRR14476109	EPI_ISL_1425033
SRR14476110	EPI_ISL_1278545
SRR14476111	EPI_ISL_1656506
SRR14476112	EPI_ISL_1278422
SRR14476113	EPI_ISL_1424893
SRR14476114	EPI_ISL_1425032
SRR14476115	EPI_ISL_1278669
SRR14476116	EPI_ISL_1278668
SRR14476117	EPI_ISL_1425031
SRR14476118	EPI_ISL_1278667
SRR14476119	EPI_ISL_1425075
SRR14476120	EPI_ISL_1278610
SRR14476121	EPI_ISL_1278491
SRR14476122	EPI_ISL_1278849
SRR14476123	EPI_ISL_1424892
SRR14476124	EPI_ISL_1278406
SRR14476125	EPI_ISL_1278470
SRR14476126	EPI_ISL_1278398
SRR14476127	EPI_ISL_1425030
SRR14476128	EPI_ISL_1278759
SRR14476129	EPI_ISL_1278758
SRR14476130	EPI_ISL_1425074
SRR14476131	EPI_ISL_1424891
SRR14476132	EPI_ISL_1278478
SRR14476133	EPI_ISL_1278938
SRR14476134	EPI_ISL_1278937
SRR14476135	EPI_ISL_1425073
SRR14476136	EPI_ISL_1425029
SRR14476137	EPI_ISL_1425028
SRR14476138	EPI_ISL_1278936
SRR14476139	EPI_ISL_1278935
SRR14476140	EPI_ISL_1435649
SRR14476141	EPI_ISL_1278516
SRR14476142	EPI_ISL_1424890
SRR14476143	EPI_ISL_1278443
SRR14476144	EPI_ISL_1424889
SRR14476145	EPI_ISL_1425027
SRR14476146	EPI_ISL_1425026
SRR14476147	EPI_ISL_1278666
SRR14476148	EPI_ISL_1278665
SRR14476149	EPI_ISL_1278664
SRR14476150	EPI_ISL_1278609
SRR14476151	EPI_ISL_1278608
SRR14476152	EPI_ISL_1278607
SRR14476153	EPI_ISL_1278796
SRR14476154	EPI_ISL_1278432
SRR14476155	EPI_ISL_1278839
SRR14476156	EPI_ISL_1424888
SRR14476157	EPI_ISL_1424887
SRR14476158	EPI_ISL_1424886
SRR14476159	EPI_ISL_1278592
SRR14476160	EPI_ISL_1278591
SRR14476161	EPI_ISL_1278590
SRR14476162	EPI_ISL_1278589
SRR14476163	EPI_ISL_1425001
SRR14476164	EPI_ISL_1278588
